source,level,target
198,0,198
199,0,199
4053,0,4053
5318,0,5318
4247,0,4247
4355,0,4355
1056,1,1056
8430,1,8430
8303,1,8303
5022,1,5022
c_8c634c9b,1,c_8c634c9b
4056,1,4056
4053,1,197
199,1,197
5318,1,197
197,1,197
4355,1,197
4247,1,197
198,1,197
3777,1,3777
196,1,196
4799,1,4799
3812,1,3812
5668,1,5668
2545,1,2545
6370,1,6370
7813,1,7813
6406,1,6406
980,1,980
6403,1,6403
434004,1,434004
200,1,200
1049,1,1049
6273,1,6273
2617,1,2617
2423,1,2423
c_ccac12ef,1,c_ccac12ef
979,1,979
6740,1,6740
6566,1,6566
7396,1,7396
3787,1,3787
5597,1,5597
4345,2,4345
7986,2,7986
6084,2,6084
4769,2,4769
6744,2,6744
7954,2,7954
5702,2,5702
5670,2,5670
6626,2,6626
95,2,95
7135,2,7135
5711,2,5711
1121,2,1121
5834,2,5834
4525,2,4525
3547,2,3547
603,2,603
5465,2,5465
383,2,383
4523,2,4523
3665,2,3665
5111,2,5111
5391,2,5391
550,2,550
5535,2,5535
605,2,605
5167,2,5167
5600,2,5600
1196,2,1196
2874,2,2874
c_25e0bb6d,2,c_25e0bb6d
404,2,404
7959,2,7959
2610,2,2610
5521,2,5521
451462,2,451462
450869,2,450869
c_315af034,2,c_315af034
5481,2,5481
3643,2,3643
5388,2,5388
5872,2,5872
8476,2,8476
6378,2,6378
7380,2,7380
331,2,331
c_4e3beee2,2,c_4e3beee2
4513,2,4513
4768,2,4768
c_c4c48e5c,2,c_c4c48e5c
5222,2,5222
1837,2,1837
2545,2,1837
5315,2,5315
4306,2,4306
1822,2,1822
5798,2,5798
5648,2,5648
442765,2,442765
4051,2,4051
6295,2,6295
4716,2,4716
940,2,940
6053,2,6053
4723,2,4723
c_715c08c0,2,c_715c08c0
1971,2,1971
2385,2,2385
6723,2,6723
1207,2,1207
5618,2,5618
5439,2,5439
6906,2,6906
106,2,106
6273,2,106
3354,2,3354
3666,2,3666
435061,2,435061
4727,2,4727
5510,2,5510
2952,2,2952
4578,2,4578
454784,2,454784
445178,2,445178
3063,2,3063
978,2,978
979,2,978
4428,2,4428
503,2,503
6724,2,6724
608,2,608
2054,2,2054
2361,2,2361
5635,2,5635
2272,2,2272
890,2,890
3738,2,3738
4710,2,4710
450652,2,450652
4639,2,4639
364,2,364
6756,2,6756
5492,2,5492
7417,2,7417
c_1000336b,2,c_1000336b
2680,2,2680
5378,2,5378
7811,2,7811
3642,2,3642
607,2,607
1875,2,1875
294,2,294
8438,2,8438
5134,2,5134
5224,2,5224
2091,2,2091
1530,2,1530
73,2,73
5802,2,5802
5540,2,5540
2641,2,2641
4658,2,4658
6711,2,6711
5113,2,5113
5233,2,5233
c_e548b67f,2,c_e548b67f
3942,2,3942
6192,2,6192
1289,2,1289
2529,2,2529
6298,2,6298
2899,2,2899
1095,2,1095
6777,2,6777
7943,2,7943
3362,2,3362
5531,2,5531
5110,2,5110
3875,2,3875
2895,2,2895
4487,2,4487
5884,2,5884
1877,2,1877
1986,2,1986
3021,2,3021
5727,2,5727
3509,2,3509
1733,2,1733
6005,2,6005
5220,2,5220
5150,2,5150
3369,2,3369
6776,2,6776
1263,2,1263
6260,2,6260
2220,2,2220
1819,2,1819
425,2,425
5685,2,5685
4041,2,4041
1722,2,1722
4719,2,4719
c_b3e9d826,2,c_b3e9d826
3740,2,3740
4638,2,4638
1480,2,1480
5221,2,5221
c_18180cde,2,c_18180cde
7134,2,7134
5601,2,5601
4712,2,4712
2600,2,2600
6404,2,6404
8429,2,8429
4190,2,4190
3686,2,3686
5630,2,5630
4699,2,4699
484,2,484
7381,2,7381
5895,2,5895
6913,2,6913
6038,2,6038
c_062f6587,2,c_062f6587
1897,2,1897
3287,2,3287
3816,2,3816
230,2,230
1169,2,1169
5179,2,5179
5700,2,5700
1816,2,1816
5934,2,5934
467,2,467
5528,2,5528
c_3897ba70,2,c_3897ba70
891,2,891
5168,2,5168
5704,2,5704
5419,2,5419
422,2,422
6325,2,6325
3370,2,3370
7396,2,3370
6566,2,3370
6854,2,6854
1871,2,1871
5643,2,5643
5182,2,5182
5312,2,5312
7358,2,7358
c_2212c2c4,2,c_2212c2c4
1683,2,1683
5330,2,5330
1915,2,1915
2080,2,2080
3238,2,3238
3456,2,3456
1140,2,1140
5586,2,5586
2769,2,2769
8444,2,8444
898,2,898
6570,2,6570
5597,2,2867
2867,2,2867
5926,2,5926
6784,2,6784
5649,2,5649
4197,2,4197
2956,2,2956
7953,2,7953
3907,2,3907
5025,2,5025
3661,2,3661
1747,2,1747
599,2,599
3421,2,3421
468,2,468
4739,2,4739
1893,2,1893
2669,2,2669
442791,2,442791
4052,2,4052
5393,2,5393
6334,2,6334
4809,2,4809
4799,2,4809
6740,2,4809
8452,2,8452
5406,2,5406
6902,2,6902
6385,2,6385
c_1c2d26cf,2,c_1c2d26cf
5185,2,5185
2724,2,2724
107,2,107
6132,2,6132
c_7951978e,2,c_7951978e
3730,2,3730
4724,2,4724
c_9a27a573,2,c_9a27a573
8547,2,8547
5112,2,5112
5189,2,5189
333,2,333
1732,2,1732
4714,2,4714
395,2,395
5326,2,5326
6190,2,6190
5131,2,5131
6358,2,6358
3011,2,3011
6191,2,6191
1049,2,1050
2423,2,1050
1050,2,1050
2898,2,2898
609,2,609
2603,2,2603
5432,2,5432
3508,2,3508
4740,2,4740
5911,2,5911
5909,2,5909
6359,2,6359
6556,2,6556
c_2c5a05a0,2,c_2c5a05a0
5874,2,5874
8451,2,8451
5790,2,5790
1872,2,1872
1699,2,1699
8445,2,8445
5756,2,5756
4335,2,4335
4439,2,4439
2951,2,2951
4787,2,4787
6616,2,6616
1264,2,1264
469,2,469
5043,2,5043
7132,2,7132
c_34242feb,2,c_34242feb
4115,2,4115
4283,2,4283
4261,2,4261
610,2,610
5900,2,5900
2572,2,2572
435098,2,435098
6218,2,6218
8430,2,6218
5567,2,5567
348,2,348
4717,2,4717
6912,2,6912
1787,2,1787
1776,2,1776
3771,2,3771
3777,2,3771
5234,2,5234
1861,2,1861
c_681e6d24,2,c_681e6d24
5956,2,5956
4794,2,4794
c_4e75f061,2,c_4e75f061
4737,2,4737
c_104476d7,2,c_104476d7
3019,2,3019
3609,2,3609
3236,2,3236
434056,2,434056
434004,2,434056
7366,2,7366
5380,2,5380
1596,2,1596
5650,2,5650
4686,2,4686
5504,2,5504
5172,2,5172
8413,2,8413
5132,2,5132
1940,2,1940
3578,2,3578
1631,2,1631
3755,2,3755
6360,2,6360
c_b54dc55a,2,c_b54dc55a
6547,2,6547
5339,2,5339
5701,2,5701
8446,2,8446
5963,2,5963
451885,2,451885
448,2,448
3283,2,3283
4463,2,4463
3284,2,3284
3776,2,3776
8482,2,8482
5573,2,5573
3402,2,3402
6370,2,6089
6089,2,6089
1531,2,1531
602,2,602
5523,2,5523
5824,2,5824
5796,2,5796
4722,2,4722
5174,2,5174
1997,2,1997
3371,2,3371
5235,2,5235
5659,2,5659
6307,2,6307
4469,2,4469
5705,2,5705
4284,2,4284
6568,2,6568
5743,2,5743
c_d08207d1,2,c_d08207d1
8475,2,8475
6403,2,1775
1775,2,1775
8303,2,1775
6406,2,1775
4053,2,4049
199,2,4049
196,2,4049
5318,2,4049
197,2,4049
4355,2,4049
7813,2,4049
200,2,4049
4049,2,4049
4247,2,4049
198,2,4049
3921,2,3921
5814,2,5814
4731,2,4731
4592,2,4592
5745,2,5745
c_ccac12ef,2,c_25fe24f4
c_25fe24f4,2,c_25fe24f4
451912,2,451912
3812,2,451912
5022,2,451912
3787,2,451912
3866,2,3866
5135,2,5135
5828,2,5828
5674,2,5674
598,2,598
4725,2,4725
5505,2,5505
4636,2,4636
192,2,192
c_8c634c9b,2,192
7138,2,7138
8285,2,8285
5671,2,5671
5133,2,5133
3704,2,3704
3221,2,3221
7198,2,7198
450658,2,450658
5223,2,5223
5570,2,5570
6699,2,6699
6287,2,6287
6337,2,6337
2671,2,2671
3356,2,3356
3618,2,3618
4715,2,4715
5703,2,5703
8481,2,8481
5850,2,5850
2607,2,2607
3017,2,3017
5853,2,5853
5617,2,5617
3662,2,3662
5377,2,5377
6907,2,6907
3137,2,3137
91,2,91
5791,2,5791
435228,2,435228
5808,2,5808
3510,2,3510
7982,2,7982
4494,2,4494
4804,2,4804
4720,2,4720
3286,2,3286
4154,2,4154
7223,2,7223
1171,2,1171
3285,2,3285
886,2,886
4718,2,4718
1299,2,1299
c_70c441cc,2,c_70c441cc
4711,2,4711
4701,2,4701
6296,2,6296
5522,2,5522
600,2,600
1093,2,1093
2875,2,2875
2608,2,2608
229,2,229
6111,2,6111
5916,2,5916
2236,2,2236
2617,2,2236
443345,2,443345
840,2,840
4698,2,4698
3147,2,3147
4476,2,4476
3215,2,3215
8477,2,8477
3772,2,3772
4212,2,4212
2855,2,2855
4642,2,4642
c_4d5b6dbd,2,c_4d5b6dbd
c_6f563894,2,c_6f563894
4056,2,5138
5668,2,5138
5138,2,5138
980,2,5138
1056,2,5138
5752,2,5752
5230,2,5230
5924,2,5924
5816,2,5816
5733,2,5733
4237,2,4237
452085,2,452085
3363,3,3363
2316,3,2316
5709,3,5709
1107,3,1107
3294,3,3294
6303,3,6303
2939,3,2939
3867,3,3867
2866,3,2866
5032,3,5032
2347,3,2347
1600,3,1600
5368,3,5368
851,3,851
4884,3,4884
1641,3,1641
1299,3,2024
2024,3,2024
3402,3,2024
1986,3,2024
985,3,985
442850,3,442850
2434,3,2434
853,3,853
c_9a27a573,3,5889
5889,3,5889
4816,3,4816
3644,3,3644
2937,3,2937
2601,3,2601
1671,3,1671
1185,3,1185
1941,3,1941
7392,3,7392
3128,3,3128
6401,3,6401
4868,3,4868
3015,3,3015
5935,3,5935
5938,3,5938
c_34242feb,3,c_e2de1ffd
c_e2de1ffd,3,c_e2de1ffd
4440,3,4440
3970,3,3970
440710,3,440710
251,3,251
2798,3,2798
8480,3,8480
2363,3,2363
c_b605a1d4,3,c_b605a1d4
5929,3,5929
5133,3,4174
5134,3,4174
4174,3,4174
5135,3,4174
4621,3,4621
c_7546272f,3,c_7546272f
4866,3,4866
1251,3,1251
2586,3,2586
454784,3,841
841,3,841
2654,3,2654
526,3,526
8503,3,8503
8333,3,8333
1622,3,1622
7893,3,7893
2051,3,2051
3700,3,3700
7410,3,7410
6310,3,6310
989,3,989
1112,3,1112
4395,3,4395
109,3,109
5240,3,5240
3366,3,3366
1341,3,1341
5652,3,5652
903,3,903
5509,3,5509
4114,3,4114
2949,3,2949
3191,3,3191
2055,3,2055
3430,3,3430
7358,3,3430
2508,3,2508
4777,3,4777
5612,3,5612
1526,3,1526
6125,3,6125
333,3,2042
451912,3,2042
451885,3,2042
2042,3,2042
3812,3,2042
5022,3,2042
3787,3,2042
447604,3,447604
c_b499ede2,3,c_b499ede2
5570,3,c_b499ede2
691,3,691
4278,3,4278
3806,3,3806
2377,3,2377
3220,3,3220
4287,3,4287
2990,3,2990
1253,3,1253
3332,3,3332
3308,3,3308
1477,3,1477
2627,3,2627
4783,3,4783
131,3,131
5914,3,5914
5934,3,5914
5911,3,5914
4306,3,5914
2761,3,2761
1634,3,1634
4606,3,4606
2338,3,2338
5015,3,5015
5956,3,4767
4768,3,4767
4769,3,4767
4767,3,4767
6779,3,6779
437483,3,437483
5269,3,5269
5952,3,5952
4668,3,4668
3983,3,3983
7213,3,7213
499,3,499
8407,3,8407
6624,3,6624
4670,3,4670
6388,3,6388
5241,3,5241
5819,3,5819
880,3,880
1535,3,1535
1242,3,1242
4846,3,4846
1569,3,1569
996,3,996
1227,3,1227
3235,3,3235
1721,3,1721
3283,3,1721
2724,3,1721
5473,3,5473
2057,3,2057
5834,3,5491
c_c4c48e5c,3,5491
5491,3,5491
428,3,428
8312,3,8312
1970,3,1970
5887,3,5887
1576,3,1576
6182,3,6182
8552,3,8552
435265,3,435265
249,3,249
c_558c1e00,3,c_558c1e00
5855,3,5855
95,3,5855
5853,3,5855
1481,3,1481
3416,3,3416
8309,3,8309
1218,3,1218
5164,3,5164
2900,3,2900
6550,3,6550
6616,3,5572
5659,3,5572
4727,3,5572
5572,3,5572
6132,3,5572
1199,3,1199
2951,3,1270
1264,3,1270
1263,3,1270
1270,3,1270
2956,3,1270
2952,3,1270
8442,3,8442
4192,3,4192
6067,3,6067
3965,3,3965
990,3,990
5500,3,5500
425,3,4871
5377,3,4871
5378,3,4871
4871,3,4871
4229,3,4229
4347,3,4347
1236,3,1236
3639,3,3639
5300,3,5300
6821,3,6821
3987,3,3987
445259,3,445259
4520,3,4520
5347,3,5347
1546,3,1546
4452,3,4452
5328,3,5328
2552,3,2552
3403,3,3403
5408,3,5408
5649,3,1114
1114,3,1114
5330,3,1114
c_9ffe3bdc,3,c_9ffe3bdc
5895,3,5722
1775,3,5722
5727,3,5722
6406,3,5722
8303,3,5722
5722,3,5722
6403,3,5722
8445,3,5722
5439,3,5722
8446,3,5722
5874,3,5722
8444,3,5722
450869,3,5722
6006,3,6006
808,3,808
5739,3,5739
c_70c441cc,3,5739
1993,3,1993
8386,3,8386
6264,3,6264
7992,3,7992
3608,3,3608
8505,3,8505
5047,3,5047
8521,3,8521
5180,3,5180
7895,3,7895
2309,3,2309
6150,3,6150
5364,3,5364
1108,3,1108
3118,3,3118
6701,3,6701
279,3,279
5804,3,5804
3181,3,3181
1964,3,1964
4061,3,4061
4313,3,4313
1029,3,1029
5559,3,5559
3349,3,3349
5820,3,5820
1286,3,1286
2008,3,2008
4641,3,4641
5525,3,5525
5523,3,5525
91,3,5525
8434,3,8434
3721,3,3721
1516,3,1516
5137,3,5137
8004,3,8004
2667,3,2667
1933,3,1933
4882,3,4882
3236,3,4493
4493,3,4493
2535,3,2535
2529,3,2535
3438,3,3438
2385,3,3438
4740,3,3438
4345,3,3438
4739,3,3438
6854,3,3438
4737,3,3438
6124,3,6124
4043,3,4043
3998,3,3998
2953,3,2953
1206,3,1206
3507,3,3507
7192,3,7192
6381,3,6381
437,3,437
443,3,443
3401,3,3401
5186,3,5186
5389,3,5389
1638,3,1638
3769,3,3769
5246,3,5246
2809,3,2809
c_41ef4cb8,3,c_41ef4cb8
3845,3,3845
6824,3,6824
5995,3,5995
63,3,63
4026,3,4026
1783,3,1783
6901,3,6901
c_e300778f,3,c_e300778f
1545,3,1545
6708,3,6708
3023,3,3023
78,3,78
4419,3,4419
8423,3,8423
6018,3,6018
1369,3,1369
3613,3,3613
1736,3,1736
5042,3,5042
550,3,5042
5043,3,5042
5557,3,5557
2940,3,2940
1267,3,1267
450925,3,450925
6772,3,6772
3341,3,3341
3596,3,3596
2326,3,2326
214,3,214
